kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 4194304 415792 0 0 0 0 0 0 512 
_1.ptx 98 : 4136960 19155728 0 0 0 0 0 0 0 
_1.ptx 99 : 4136960 36278224 0 0 0 0 0 0 0 
_1.ptx 100 : 4136960 0 0 0 0 0 0 0 0 
_1.ptx 101 : 4136960 48668720 0 0 0 0 0 0 0 
_1.ptx 102 : 4136960 29618736 0 0 0 0 0 0 0 
_1.ptx 103 : 4136960 36380912 0 0 0 0 0 0 0 
_1.ptx 104 : 4136960 409280 0 0 0 0 0 0 7084 
_1.ptx 105 : 4080400 35852858 0 0 0 0 0 0 0 
_1.ptx 106 : 4080400 0 0 0 0 0 0 0 0 
_1.ptx 108 : 4080400 18973499 0 0 0 0 0 0 0 
_1.ptx 109 : 4080400 48913924 0 0 0 0 0 0 0 
_1.ptx 110 : 4080400 47406244 0 0 0 0 0 0 0 
_1.ptx 111 : 4080400 46662930 0 0 0 0 0 0 0 
_1.ptx 112 : 4080400 47470025 0 0 0 0 0 0 0 
_1.ptx 113 : 4080400 50589724 256 0 0 129536 129536 0 0 
_1.ptx 114 : 4080400 19178434 0 0 0 0 0 0 0 
_1.ptx 115 : 4080400 48789056 0 0 0 0 0 0 0 
_1.ptx 116 : 4080400 47438032 0 0 0 0 0 0 0 
_1.ptx 117 : 4080400 46342567 0 0 0 0 0 0 0 
_1.ptx 118 : 4080400 47540891 0 0 0 0 0 0 0 
_1.ptx 119 : 4080400 428703941 262144 0 0 357540 129536 0 0 
_1.ptx 120 : 4080400 39380548 0 0 0 0 0 0 0 
_1.ptx 123 : 4194304 45340576 0 0 0 0 0 0 0 
_1.ptx 124 : 4194304 37002464 0 0 0 0 0 0 0 
_1.ptx 125 : 4194304 26589760 0 0 0 0 0 0 0 
_1.ptx 127 : 524288 5742240 0 0 0 0 0 0 0 
_1.ptx 128 : 524288 4648960 0 0 0 0 0 0 0 
_1.ptx 129 : 524288 3341056 0 0 0 0 0 0 0 
_1.ptx 130 : 65536 485248 0 0 0 0 0 0 0 
_1.ptx 136 : 65536 307872 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 775488 0 0 0 0 0 0 0 
_1.ptx 138 : 65536 754176 0 0 0 0 0 0 0 
_1.ptx 139 : 65536 739712 0 0 0 0 0 0 0 
_1.ptx 140 : 65536 756736 0 0 0 0 0 0 0 
_1.ptx 141 : 65536 565792 135232 0 0 4096 2048 0 0 
_1.ptx 143 : 65536 462272 0 0 0 0 0 0 0 
_1.ptx 65 : 65536 455104 0 0 0 0 0 0 0 
_1.ptx 66 : 65536 1020640 0 0 0 0 0 0 0 
_1.ptx 67 : 65536 482368 0 0 0 0 0 0 0 
_1.ptx 68 : 65536 966496 0 0 0 0 0 0 0 
_1.ptx 69 : 65536 505632 0 0 0 0 0 0 0 
_1.ptx 70 : 65536 789536 0 0 0 0 0 0 0 
_1.ptx 71 : 65536 508928 0 0 0 0 0 0 0 
_1.ptx 72 : 65536 780160 0 0 0 0 0 0 0 
_1.ptx 73 : 65536 4115968 128 0 0 0 0 0 0 
_1.ptx 74 : 65536 492640 0 0 0 0 0 0 0 
_1.ptx 75 : 65536 568416 0 0 0 0 0 0 0 
_1.ptx 76 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 77 : 65536 518304 0 0 0 0 0 0 0 
_1.ptx 78 : 65536 281728 0 0 0 0 0 0 0 
_1.ptx 79 : 65536 456800 0 0 0 0 0 0 0 
_1.ptx 80 : 65536 568224 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 282080 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 445408 0 0 0 0 0 0 0 
_1.ptx 83 : 65536 466848 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 527456 0 0 0 0 0 0 0 
_1.ptx 87 : 524288 0 0 0 0 0 0 0 0 
_1.ptx 88 : 524288 4265440 0 0 0 0 0 0 0 
_1.ptx 89 : 524288 6199296 0 0 0 0 0 0 0 
_1.ptx 90 : 524288 3751904 0 0 0 0 0 0 0 
_1.ptx 91 : 524288 4676192 0 0 0 0 0 0 0 
_1.ptx 92 : 524288 3793952 0 0 0 0 0 0 0 
_1.ptx 93 : 524288 4326464 0 0 0 0 0 0 0 
